id	dep	circo	inscrits	abstentions	votants	blancs	nuls	exprimes	p1_panneau	p1_sexe	p1_nom	p1_prenom	p1_nuance	p1_voix	p2_panneau	p2_sexe	p2_nom	p2_prenom	p2_nuance	p2_voix	p3_panneau	p3_sexe	p3_nom	p3_prenom	p3_nuance	p3_voix	p4_panneau	p4_sexe	p4_nom	p4_prenom	p4_nuance	p4_voix	p5_panneau	p5_sexe	p5_nom	p5_prenom	p5_nuance	p5_voix	p6_panneau	p6_sexe	p6_nom	p6_prenom	p6_nuance	p6_voix	p7_panneau	p7_sexe	p7_nom	p7_prenom	p7_nuance	p7_voix	p8_panneau	p8_sexe	p8_nom	p8_prenom	p8_nuance	p8_voix	p9_panneau	p9_sexe	p9_nom	p9_prenom	p9_nuance	p9_voix	p10_panneau	p10_sexe	p10_nom	p10_prenom	p10_nuance	p10_voix	p11_panneau	p11_sexe	p11_nom	p11_prenom	p11_nuance	p11_voix	p12_panneau	p12_sexe	p12_nom	p12_prenom	p12_nuance	p12_voix	p13_panneau	p13_sexe	p13_nom	p13_prenom	p13_nuance	p13_voix	p14_panneau	p14_sexe	p14_nom	p14_prenom	p14_nuance	p14_voix	p15_panneau	p15_sexe	p15_nom	p15_prenom	p15_nuance	p15_voix	p16_panneau	p16_sexe	p16_nom	p16_prenom	p16_nuance	p16_voix	p17_panneau	p17_sexe	p17_nom	p17_prenom	p17_nuance	p17_voix	p18_panneau	p18_sexe	p18_nom	p18_prenom	p18_nuance	p18_voix	p19_panneau	p19_sexe	p19_nom	p19_prenom	p19_nuance	p19_voix	p20_panneau	p20_sexe	p20_nom	p20_prenom	p20_nuance	p20_voix	p21_panneau	p21_sexe	p21_nom	p21_prenom	p21_nuance	p21_voix	p22_panneau	p22_sexe	p22_nom	p22_prenom	p22_nuance	p22_voix
87_01	87	01	84294	40055	44239	1114	635	42490	7	F	FAUCON	Elisabeth	DXG	880	8	M	MAUDET	Damien	NUP	14675	6	M	PROVOST	David	DIV	867	5	F	BEAUDOUIN HUBIERE	Sophie	ENS	11907	3	M	VALIERE-VIALEIX	Jean	LR	3756	1	F	TAMBO	Stéphanie	DVD	765	2	F	MARQUET	Fabienne	REC	1756	4	F	GÉDOUX	Christiane	RN	7884																																																																																				
87_02	87	02	98167	44371	53796	1303	830	51663	5	F	ROUSSIE	Claudine	DXG	962	1	M	DELAUTRETTE	Stéphane	NUP	18381	6	M	GENDARME	Daniel	DVG	1551	3	M	COGNERAS	Cyril	REG	606	9	F	ZAITER	Shérazade	ENS	7957	4	M	BONNET	Jean-Luc	DVC	6080	2	M	BOST	Jean Marie	LR	3962	8	F	CARRE	Gisèle	REC	1920	7	F	MINGUET	Sabrina	RN	10244																																																																														
87_03	87	03	82045	38915	43130	1176	667	41287	3	M	MOURNETAS	Daniel	DXG	679	7	F	MEUNIER	Manon	NUP	13079	10	F	RASSAT	Nelly	REG	530	6	M	SARDIN	Geoffroy	ENS	8384	4	M	SABOUNE	Nazih	DVC	772	9	M	LEONIE	Vincent	DVC	3082	1	M	TOULZA	Gilles	LR	4177	8	F	BROSSARD	Corinne	DVD	772	5	M	ARDANT	Antoine	REC	1695	2	M	FREYCHET	Albin	RN	8117																																																																								
88_01	88	01	76767	40302	36465	565	220	35680	1	F	ABBOT	Evelyne	DXG	293	3	M	NICOLAZZI	Maxime	DXG	209	6	M	FETET	Jules	NUP	6643	7	M	AIT AHMED	Mohamed	ECO	686	5	F	AJDIR	Ihsane	DIV	72	10	F	ROSSATO	Elisabetta	DIV	109	2	F	MONANGE	Anne-Sophie	ENS	5439	8	M	VIRY	Stéphane	LR	13276	9	M	DUPARCQ	Eric	DSV	432	11	M	PERRY	Stéphane	REC	1205	4	F	MOONS	Emmie	RN	7316																																																																		
88_02	88	02	72545	37675	34870	646	244	33980	4	M	CHAMBROT	Lionel	DXG	171	10	F	LANGLADE	Jeanne-Françoise	DXG	353	3	F	MOREAU	Charlotte	NUP	6061	1	M	THIEBAUT	Emmanuel	ECO	745	8	M	JUGOWAL	Sudarshan	ECO	374	11	F	MORÉ	Elisa	REG	1	2	M	VALENCE	David	ENS	10235	5	F	PRIVAT MATTIONI	Caroline	LR	4024	6	M	SCHAFFHAUSER	Jean-Luc	DVD	351	9	F	CANADAS	Martine	DVD	330	7	M	ROBINOT	Pierre-Jean	DSV	1573	12	M	DUSSAUSAYE	Gaëtan	RN	9762																																																												
88_03	88	03	63940	31349	32591	381	146	32064	7	F	BAILLY	Stéphanie	DXG	278	4	F	PIERRAT	Béatrice	NUP	5669	6	M	ZIRGEL	Félix	REG	250	3	F	VILLEMIN	Stéphanie	ENS	3758	5	M	NAEGELEN	Christophe	DVD	15136	8	F	COLLIN DUPARCQ	Marina	DSV	447	2	F	ERB	Anne-Caroline	REC	721	1	M	FRANÇOIS	Pierre	RN	5805																																																																																				
88_04	88	04	65296	31812	33484	545	254	32685	8	F	BAILLY	Camille	DXG	305	6	M	WEIN	François-Xavier	NUP	5220	5	M	FRANQUEVILLE	Christian	DVG	4049	9	M	HURIOT	Joris	DVG	1905	7	M	MORALES	Thierry	ECO	389	1	M	LAURENT	Christophe	ENS	4490	4	M	GAULTIER	Jean-Jacques	LR	7028	3	F	JABRIN	Jocelyne	REC	769	2	M	HUMBERT	Sébastien	RN	8530																																																																														
89_01	89	01	75757	36467	39290	578	198	38514	2	M	KERMIN	Jean-Charles	DXG	359	3	F	MANIGAUT	Sylvie	DXG	361	5	F	LOURY	Florence	NUP	9339	7	F	GUYOT	Elsa	ECO	639	4	M	ALBRECHT	Victor	ENS	7509	9	M	LARRIVÉ	Guillaume	LR	8709	8	F	GUYARD	Yvonne	DSV	549	1	M	TÉQUI	Paul	REC	1835	6	M	GRENON	Daniel	RN	9214																																																																														
89_02	89	02	73470	36738	36732	855	281	35596	1	F	CARRASCO	Anita	DXG	516	6	M	VEYSSIERE	Philippe	NUP	7589	7	F	NAKOV	Iris	ECO	1196	8	M	PRESSARD	Patrice	ECO	549	4	M	VILLIERS	André	ENS	10402	3	M	FRAYER	Florian	DVD	2062	9	F	CARDONA	Maryse	DSV	681	2	F	DUMOULIN	Marie	REC	1665	5	F	LOPEZ	Audrey	RN	10936																																																																														
89_03	89	03	89720	46558	43162	581	223	42358	5	F	PALLANT	Simonne	DXG	271	6	F	KERMIN	Annie	DXG	262	10	F	DENÉ	Manon	NUP	8126	4	M	KHAN	Mehdi	DVG	420	9	F	VIGNIER	Agnès	ECO	543	12	F	HENRY	Florence	ECO	1061	8	F	CROUZET	Michèle	ENS	9114	11	F	FRANTZ	Véronique	DVC	1013	3	M	PIRMAN	Gilles	LR	4588	7	F	WANG	Aline	DSV	602	1	F	LOUIS-STOKOBER	Laurence	REC	1461	2	M	ODOUL	Julien	RN	14897																																																												
90_01	90	01	47752	24436	23316	420	166	22730	2	F	PETITOT	Christiane	DXG	318	7	M	LORIDAT	Gérald	NUP	4828	3	F	FILLON	Agnès	ECO	398	1	M	GRUDLER	Thiebaud	ENS	4671	5	M	BOUCARD	Ian	LR	6196	8	M	BARATAY	Kévin	DVD	197	4	M	CORDONNIER	Jean	DSV	472	6	F	FRANQUET	Nathalie	REC	782	9	M	SOUSTELLE	Christophe	RN	4868																																																																														
