dep	circo	panneau	sexe	nom	prenom	nuance_ministere	nuance_lemonde	bloc_lemonde	parti_lemonde
69	03	11	F	GARIN	Marie-Charlotte	NUP	EELV-Nupes	Nupes	Europe Ecologie-Les Verts
69	03	12	M	AUZAL	Jean-François	RDG	PRG	Gauche	Parti radical de gauche
69	03	13	M	TODOROVIC	Nicolas	ECO	écol.	Divers	divers écologistes
69	04	1	F	DARBON	Florence	REC	Rec.	Reconquête	Reconquête !
69	04	2	F	LAURENT	Coralie	DXG	LO	Extrême gauche	Lutte ouvrière
69	04	3	F	KEBIR	Nadia	ECO	écol.	Divers	divers écologistes
69	04	4	M	BLACHE	Pascal	LR	LR	LR-UDI	Les Républicains
69	04	5	F	COULAIS	Véronique	RN	RN	Rassemblement national	Rassemblement national
69	04	6	F	BRUGNERA	Anne	ENS	LRM-Ensemble	Ensemble	La République en marche
69	04	7	F	VEL	Juliette	DIV	div.	Divers	divers inclassable
69	04	8	M	BENRAMDANE	Malik	DIV	UDMF	Divers	Union des démocrates musulmans français
69	04	9	M	BADOUARD	Benjamin	NUP	EELV-Nupes	Nupes	Europe Ecologie-Les Verts
69	05	1	M	DUIGOU	Yves	RN	RN	Rassemblement national	Rassemblement national
69	05	2	M	JOINT	Bastien	LR	LR	LR-UDI	Les Républicains
69	05	3	M	LE BEL	Cédric	REC	Rec.	Reconquête	Reconquête !
69	05	4	F	BOUARD	Stéphanie	ECO	écol.	Divers	divers écologistes
69	05	5	F	BROCARD	Blandine	ENS	MoDem-Ensemble	Ensemble	Mouvement démocrate
69	05	6	M	MATTEUCCI	Fabrice	NUP	PS-Nupes	Nupes	Parti socialiste
69	05	7	F	RIVIÈRE	Hélène	DXG	LO	Extrême gauche	Lutte ouvrière
69	05	8	M	SLIMANI	Mohamed	DIV	UDMF	Divers	Union des démocrates musulmans français
69	05	9	F	KABIL	Julie	DIV	Anim.	Divers	Parti animaliste
69	06	1	F	BUISSON	Katia	RDG	PRG	Gauche	Parti radical de gauche
69	06	2	M	SENDE	Jean-Eric	DVC	LRM dis.	Centre	dissident La République en marche
69	06	3	M	RYCKAERT	Paul	DIV	div.	Divers	divers inclassable
69	06	4	F	WINKELMULLER	Laura	REG	rég.	Régionalistes	régionalistes
69	06	5	M	CHARLIEU	Clément	UDI	UDI	LR-UDI	Union des démocrates et indépendants
69	06	6	M	PRIVOLT	Grégoire	DXG	POID	Extrême gauche	Parti ouvrier indépendant démocratique
69	06	7	F	BOUHAMI	Nadia	DXG	LO	Extrême gauche	Lutte ouvrière
69	06	8	F	BOUTAYEB	Maude	DIV	UDMF	Divers	Union des démocrates musulmans français
69	06	9	F	ROCHE	Ingrid	ECO	Anim.	Divers	Parti animaliste
69	06	10	F	MOREL	Michèle	RN	RN	Rassemblement national	Rassemblement national
69	06	11	M	PORTA	Pierre	REC	Rec.	Reconquête	Reconquête !
69	06	12	M	MEZIANI	Zaïr	ECO	écol.	Divers	divers écologistes
69	06	13	F	HAZIZA	Emmanuelle	ENS	Hor.-Ensemble	Ensemble	Horizons
69	06	14	M	AMARD	Gabriel	NUP	LFI-Nupes	Nupes	La France insoumise
69	06	15	M	VIEIRA	Philippe	DIV	div.	Divers	divers inclassable
69	07	1	F	BOUGUERRA	Monia	DIV	UDMF	Divers	Union des démocrates musulmans français
69	07	2	F	LUCCHESI	Geneviève	REC	Rec.	Reconquête	Reconquête !
69	07	3	F	KHEDHER	Anissa	ENS	LRM-Ensemble	Ensemble	La République en marche
69	07	4	M	LAHMAR	Abdelkader	NUP	LFI-Nupes	Nupes	La France insoumise
69	07	5	M	VINCENDET	Alexandre	LR	LR	LR-UDI	Les Républicains
69	07	6	M	VACHON	Alain	DIV	div.	Divers	divers inclassable
69	07	7	M	GASMI	Nordine	DIV	div. g.	Gauche	Divers gauche
69	07	8	F	PAPA	Anna	DVD	div. d.	Droite	divers droite
69	07	9	M	DOGANEL	Izzet	DVC	LRM dis.	Centre	dissident La République en marche
69	07	10	M	SPREUX	Thomas	DXG	LO	Extrême gauche	Lutte ouvrière
69	07	11	M	GOMEZ	Stéphane	DVG	PS dis.	Gauche	dissident PS hors accord Nupes
69	07	12	F	JONCOUR	Tiffany	RN	RN	Rassemblement national	Rassemblement national
69	07	13	M	LOUNES	Rachid	ECO	écol.	Divers	divers écologistes
69	07	14	F	BOUHILA	Charlotte	ECO	Anim.	Divers	Parti animaliste
69	08	1	F	LAWO	Valérie	ECO	écol.	Divers	divers écologistes
69	08	2	F	BRAUD	Pascale	DVG	FGR	Gauche	Fédération de la gauche républicaine
69	08	3	F	DE PENFENTENYO DE KERVÉRÉGUIN	Marie	REC	Rec.	Reconquête	Reconquête !
69	08	4	M	TEYSSIER	Tristan	DXG	LO	Extrême gauche	Lutte ouvrière
69	08	5	F	PELERINS	Noëlle	ECO	Anim.	Divers	Parti animaliste
69	08	6	M	GAUDE	Joël	ECO	écol.	Divers	divers écologistes
69	08	7	M	DUBOIS	Antoine	RN	RN	Rassemblement national	Rassemblement national
69	08	8	F	SERRE	Nathalie	LR	LR	LR-UDI	Les Républicains
69	08	9	F	BULIN	Cécile	NUP	PCF-Nupes	Nupes	Parti communiste français
69	08	10	M	DESPRAS	Dominique	ENS	MoDem-Ensemble	Ensemble	Mouvement démocrate
69	08	11	M	NOVE JOSSERAND	Mathieu	DSV	Pat.	Extrême droite	Les Patriotes
69	09	1	M	BERTHOUX	Rémi	RN	RN	Rassemblement national	Rassemblement national
69	09	2	M	PORTIER	Alexandre	LR	LR	LR-UDI	Les Républicains
69	09	3	F	DUNE	Mylène	NUP	LFI-Nupes	Nupes	La France insoumise
69	09	4	M	MÉJEAN	Ambroise	ENS	LRM-Ensemble	Ensemble	La République en marche
69	09	5	F	BAÏDA	Delphine	DIV	UDMF	Divers	Union des démocrates musulmans français
69	09	6	M	CHAVANNE	Alexandre	REG	Rés.	Droite	Résistons !
69	09	7	F	HELLY	Chantal	DXG	LO	Extrême gauche	Lutte ouvrière
69	09	8	F	PERRICHON	Elodie	ECO	écol.	Divers	divers écologistes
69	09	9	F	DE GUERNON	Claire	REC	Rec.	Reconquête	Reconquête !
69	09	10	F	GIRERD	Maguy	DSV	DLF	Extrême droite	Debout la France
69	10	1	M	ULUBAS	Xavier	ECO	écol.	Divers	divers écologistes
69	10	2	M	BOMPARD	Gilles	DXG	LO	Extrême gauche	Lutte ouvrière
69	10	3	M	RAMBAUD	Gerbert	DSV	DLF	Extrême droite	Debout la France
69	10	4	F	EDERY	Michèle	NUP	PS-Nupes	Nupes	Parti socialiste
69	10	5	F	MARION	Agnès	REC	Rec.	Reconquête	Reconquête !
69	10	6	F	CHANELET	Fatiha	DVD	Rés.	Droite	Résistons !
69	10	7	F	CRUZ	Sophie	LR	LR	LR-UDI	Les Républicains
69	10	8	M	GASSILLOUD	Thomas	ENS	Agir-Ensemble	Ensemble	Agir
69	10	9	M	RUIZ	Sébastien	ECO	Anim.	Divers	Parti animaliste
69	11	1	M	ASCARINO	Charles	REC	Rec.	Reconquête	Reconquête !
69	11	2	F	BROWNING	Isabelle	DXG	LO	Extrême gauche	Lutte ouvrière
69	11	3	M	CHIRAT	Christophe	DIV	div.	Divers	divers inclassable
69	11	4	M	MARTINON	Alexis	ECO	Anim.	Divers	Parti animaliste
69	11	5	M	ALLALI	Moshen	DVG	UDMF	Divers	Union des démocrates musulmans français
69	11	6	M	VIDAL	Paul	LR	LR	LR-UDI	Les Républicains
